Der Fallensteller
Der Geist
Der Hinterwäldler
Die Krankenschwester
Der Wandler
Die Hexe
Der Doktor
Die Jägerin
Der Kannibale
Der Albtraum
Das Schwein
Der Clown
Das Gespenst
Die Legion
Die Seuche
Ghost Face
Der Demogorgon
Der Oni
Der Todesbote
Der Henker
Die Fäule
Die Zwillinge
Der Trickster
Nemesis
Der Zenobit
Die Künstlerin
Der Onryō
Die Dredsche
Mastermind
Der Ritter
Die Schädelhändlerin
Die Singularität
Der Xenomorph
Der Good Guy
Das Unbekannte
Der Lich
Der Dunkle Graf
Die Hundegebieterin
Der Ghul
Der Animatronic
Die Krasue
Der Erste
Der Schlitzer
