Murky Reagent
Petrified Oak
Shiny Coin
Shrout of Separation
Vigo's Jar of Salty Lips
White Ward
Airlock Doors
Alien Flora
Azarov's Key
Beef Tallow Mixture
Black Salt Statuette
Charred Wedding Photograph
Crow's Eye
Damaged Photo
Grandma's Cookbook
Hawkins National Laboratory I.D.
Heart Locket
Ichorous Loam
Ivory Chalk Pouch
Jigwsaw Piece
MacMillan's Phalanx Bone
Mary's Letter
RPD Badge
Shattered Bottle
Shattered Glasses
The Last Mask
The Pied Piper
VIP Wristband
Yamaoka Family Crest
Cream Chalk Pouch
Hazy Reagent
Salt Pouch
Shroud of Union
Tarnished Coin
Vigo's Shroud
Annotated Blueprint
Bloodied Blueprint
Chalk Pouch
Clear Reagent
Faint Reagent
Sacrificial Ward
Torn Blueprint
Vigo's Blueprint
